base_contrast,metric,n_models,n_positive,n_negative,n_zero,direction_consistent,all_significant,any_significant,median_rank_biserial,deltas,models
Base→SFT|dense_k1,CTQRS,3,1,2,0,False,False,True,-0.056301,0.1945;-0.0340;-0.0098,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,CondFilledRate,3,2,1,0,False,False,True,0.101174,0.1373;0.0146;-0.1667,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,ContextSupportRate,3,3,0,0,True,False,True,0.374922,0.3393;0.1416;0.0371,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,ContextUnattributedRate,3,2,1,0,False,False,True,0.505355,0.1645;-0.0751;0.1829,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,IUHE_Total,3,3,0,0,True,True,True,0.7999841747111884,3.5243;1.9079;2.6164,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,IUHE_per_1kTok,3,3,0,0,True,True,True,0.934238310708899,11.0862;4.5683;11.4394,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,NoSignalFilledRate,3,2,1,0,False,False,True,0.2709447415329768,-0.0486;0.0213;0.2240,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,PlaceholderRate,3,2,1,0,False,False,True,-0.023557692307692307,-0.0953;0.0032;0.3555,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,RAHE_Total,3,3,0,0,True,True,True,0.881240467717336,2.4143;1.6522;1.2174,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,RAHE_per_1kTok,3,3,0,0,True,True,True,0.9298316159839155,7.8282;4.0849;4.5593,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,ROUGE1_F1,3,3,0,0,True,True,True,0.830132,0.2317;0.0179;0.3585,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,ROUGE1_F1_NORM,3,3,0,0,True,True,True,0.842763,0.2416;0.0243;0.3709,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,ROUGE1_R,3,2,1,0,False,False,True,0.06968,0.2030;0.0006;-0.0563,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,ROUGE1_R_NORM,3,2,1,0,False,False,True,0.098177,0.2074;0.0028;-0.0543,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,SBERT,3,2,1,0,False,True,True,0.426405,0.1721;-0.0309;0.0301,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,SBERT_NORM,3,2,1,0,False,True,True,0.488152,0.1733;-0.0293;0.0371,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,SecFilled,3,2,1,0,False,False,True,0.010327,0.1682;0.0006;-0.3152,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,SecPresence,3,1,2,0,False,False,True,0.013462,0.0908;-0.0038;-0.3664,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,SignalFilledRate,3,2,1,0,False,False,True,0.03179012345679012,0.1688;0.0049;-0.3007,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,TransferRate,3,3,0,0,True,True,True,0.7090248962655602,0.4388;0.2833;0.2271,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,UAHE_Total,3,3,0,0,True,False,True,0.602613,1.1100;0.2558;1.3990,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,UAHE_per_1kTok,3,3,0,0,True,False,True,0.756654,3.2580;0.4835;6.8800,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|dense_k1,UnknownRate,3,1,2,0,False,False,True,-0.049473684210526316,-0.1618;-0.0038;0.3063,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,CTQRS,3,2,1,0,False,False,False,0.052912,0.0240;-0.0149;0.0008,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,CondFilledRate,3,0,3,0,True,True,True,-0.804689,-0.0856;-0.1872;-0.1717,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,ContextSupportRate,3,0,3,0,True,True,True,-0.879268,-0.2231;-0.3154;-0.2394,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,ContextUnattributedRate,3,3,0,0,True,True,True,0.983121,0.6655;0.6684;0.5284,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,IUHE_Total,3,3,0,0,True,True,True,0.9917773031229495,3.9693;3.5422;3.4604,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,IUHE_per_1kTok,3,3,0,0,True,True,True,0.9971524619339529,11.3932;9.6607;13.3113,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,NoSignalFilledRate,3,3,0,0,True,True,True,0.9799720540288775,0.1963;0.2807;0.2671,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,PlaceholderRate,3,3,0,0,True,True,True,0.9813382443216697,0.2513;0.3779;0.3900,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,RAHE_Total,3,0,0,3,True,False,False,0.0,0.0000;0.0000;0.0000,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,RAHE_per_1kTok,3,0,0,3,True,False,False,0.0,0.0000;0.0000;0.0000,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,ROUGE1_F1,3,3,0,0,True,True,True,0.48656,0.0909;0.0437;0.3745,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,ROUGE1_F1_NORM,3,3,0,0,True,True,True,0.508508,0.1014;0.0576;0.3910,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,ROUGE1_R,3,2,1,0,False,True,True,0.242839,0.0847;0.0174;-0.0570,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,ROUGE1_R_NORM,3,2,1,0,False,True,True,0.296523,0.0908;0.0241;-0.0528,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,SBERT,3,3,0,0,True,False,True,0.367973,0.0361;0.0000;0.0157,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,SBERT_NORM,3,3,0,0,True,False,True,0.454747,0.0430;0.0044;0.0247,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,SecFilled,3,0,3,0,True,True,True,-0.975773,-0.2020;-0.3702;-0.3600,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,SecPresence,3,0,3,0,True,True,True,-1.0,-0.2545;-0.3856;-0.4143,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,SignalFilledRate,3,0,3,0,True,True,True,-0.9246738744226182,-0.1974;-0.3510;-0.3263,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,TransferRate,3,0,0,3,True,False,False,0.0,0.0000;0.0000;0.0000,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,UAHE_Total,3,3,0,0,True,True,True,0.991777,3.9693;3.5422;3.4604,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,UAHE_per_1kTok,3,3,0,0,True,True,True,0.997152,11.3932;9.6607;13.3113,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
Base→SFT|k0,UnknownRate,3,3,0,0,True,True,True,0.9803560466543892,0.2155;0.3632;0.3555,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,CTQRS,3,3,0,0,True,False,True,0.220417,0.0233;0.0635;0.0120,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,CondFilledRate,3,0,3,0,True,True,True,-0.719188,-0.0980;-0.1685;-0.0584,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,ContextSupportRate,3,3,0,0,True,True,True,0.748433,0.2625;0.3584;0.1381,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,ContextUnattributedRate,3,0,3,0,True,True,True,-0.717308,-0.1039;-0.0438;-0.0767,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,IUHE_Total,3,3,0,0,True,True,True,0.9170271700227195,2.0179;3.4066;0.6650,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,IUHE_per_1kTok,3,3,0,0,True,False,True,0.8489783831803376,7.2590;8.5132;1.4041,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,NoSignalFilledRate,3,3,0,0,True,True,True,0.8678678678678678,0.0725;0.2046;0.0652,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,PlaceholderRate,3,3,0,0,True,True,True,0.896936936936937,0.1240;0.3146;0.0902,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,RAHE_Total,3,3,0,0,True,True,True,0.9813493901497606,2.3325;3.4680;0.9028,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,RAHE_per_1kTok,3,3,0,0,True,True,True,0.939041248606466,8.6729;8.7507;2.4445,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,ROUGE1_F1,3,0,3,0,True,False,True,-0.454564,-0.1347;-0.0529;-0.0265,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,ROUGE1_F1_NORM,3,0,3,0,True,False,True,-0.393079,-0.1274;-0.0441;-0.0261,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,ROUGE1_R,3,2,1,0,False,False,True,0.079852,-0.0835;0.0090;0.0244,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,ROUGE1_R_NORM,3,2,1,0,False,False,True,0.138955,-0.0780;0.0159;0.0253,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,SBERT,3,0,3,0,True,True,True,-0.731275,-0.1613;-0.0864;-0.0201,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,SBERT_NORM,3,0,3,0,True,True,True,-0.701237,-0.1508;-0.0783;-0.0198,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,SecFilled,3,0,3,0,True,True,True,-0.818652,-0.1445;-0.2954;-0.1132,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,SecPresence,3,0,3,0,True,True,True,-0.923195,-0.1157;-0.3178;-0.0870,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,SignalFilledRate,3,0,3,0,True,True,True,-0.8413400758533502,-0.1458;-0.2954;-0.0976,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,TransferRate,3,3,0,0,True,True,True,0.9876182640888523,0.4874;0.7067;0.2232,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,UAHE_Total,3,0,3,0,True,False,True,-0.521748,-0.3146;-0.0614;-0.2379,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,UAHE_per_1kTok,3,0,3,0,True,False,True,-0.526358,-1.4138;-0.2375;-1.0404,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_dense_k1,UnknownRate,3,3,0,0,True,True,True,0.8939958592132505,0.1151;0.3165;0.0863,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,CTQRS,3,0,3,0,True,False,True,-0.185907,-0.0029;-0.0267;-0.0145,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,CondFilledRate,3,0,3,0,True,True,True,-0.776033,-0.0457;-0.2607;-0.0699,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,ContextSupportRate,3,2,1,0,False,False,False,0.42486,-0.0143;0.0561;0.0453,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,ContextUnattributedRate,3,1,2,0,False,False,False,-0.373763,-0.0318;0.0002;-0.0555,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,IUHE_Total,3,0,3,0,True,False,False,-0.19717435180872536,-0.0793;-0.0077;-0.0844,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,IUHE_per_1kTok,3,0,3,0,True,False,False,-0.11031664964249234,-0.1225;-0.0489;-0.3934,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,NoSignalFilledRate,3,3,0,0,True,False,True,0.9569015725101921,0.0111;0.2379;0.0072,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,PlaceholderRate,3,3,0,0,True,False,True,0.7142857142857143,0.0051;0.4111;0.0262,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,RAHE_Total,3,0,0,3,True,False,False,0.0,0.0000;0.0000;0.0000,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
DPO_free→aware|bal_k0,RAHE_per_1kTok,3,0,0,3,True,False,False,0.0,0.0000;0.0000;0.0000,llama-3.2-3b;mistral-7b-v0.3;qwen2.5-7b
